Date,Open,High,Low,Close,Adj Close,Volume
2019-12-30,120500.000000,121500.000000,115000.000000,116000.000000,111564.835938,2169513
2020-01-06,116000.000000,117000.000000,110000.000000,113500.000000,109160.421875,4325612
2020-01-13,113500.000000,120000.000000,113000.000000,118500.000000,113969.257813,4210038
2020-01-20,119500.000000,131500.000000,116500.000000,130500.000000,125510.445313,6257284
2020-01-27,130500.000000,133000.000000,124500.000000,125000.000000,120220.726563,5230117
2020-02-03,123000.000000,133000.000000,121000.000000,131000.000000,125991.328125,6166073
2020-02-10,129500.000000,137500.000000,129000.000000,133500.000000,128395.742188,4618969
2020-02-17,133500.000000,136000.000000,127000.000000,128000.000000,123106.023438,3473997
2020-02-24,124500.000000,125000.000000,114000.000000,115000.000000,110603.078125,5266697
2020-03-02,116000.000000,116500.000000,110000.000000,110500.000000,106275.125000,6800299
2020-03-09,110500.000000,110500.000000,83500.000000,87200.000000,83865.984375,9332586
2020-03-16,88300.000000,89500.000000,65000.000000,71100.000000,68381.546875,14334103
2020-03-23,67200.000000,90200.000000,66200.000000,86400.000000,83096.570313,16153286
2020-03-30,82800.000000,90100.000000,82100.000000,86300.000000,83000.390625,8679046
2020-04-06,86500.000000,101500.000000,85900.000000,99700.000000,95888.054688,12670235
2020-04-13,98800.000000,103500.000000,97400.000000,100500.000000,96657.460938,5751556
2020-04-20,100000.000000,100500.000000,89400.000000,90100.000000,86655.109375,14223990
2020-04-27,90300.000000,94400.000000,90200.000000,93600.000000,90021.281250,3861653
2020-05-04,91100.000000,95400.000000,90700.000000,94500.000000,90886.867188,4879894
2020-05-11,95800.000000,96500.000000,90500.000000,92300.000000,88770.984375,5921128
2020-05-18,92100.000000,99400.000000,91000.000000,94500.000000,90886.867188,10225135
2020-05-25,94900.000000,99600.000000,94000.000000,98000.000000,94253.054688,8425529
2020-06-01,98000.000000,113000.000000,98000.000000,111000.000000,106756.015625,12133763
2020-06-08,114000.000000,115000.000000,101500.000000,103500.000000,99542.773438,8877010
2020-06-15,102000.000000,102500.000000,97000.000000,100000.000000,96176.585938,6798568
2020-06-22,99100.000000,103500.000000,98000.000000,100000.000000,96176.585938,5585316
2020-06-29,97700.000000,100500.000000,97600.000000,99200.000000,95407.179688,3873489
2020-07-06,99700.000000,103500.000000,98000.000000,98300.000000,94541.585938,5450636
2020-07-13,99200.000000,119000.000000,98500.000000,117500.000000,113007.484375,14441354
2020-07-20,119500.000000,129000.000000,116000.000000,122500.000000,117816.320313,18409348
2020-07-27,122500.000000,130500.000000,120000.000000,126500.000000,121663.382813,10149994
2020-08-03,126500.000000,149500.000000,123500.000000,147000.000000,141379.562500,13468788
2020-08-10,151500.000000,180500.000000,151000.000000,167000.000000,160614.890625,28580929
2020-08-17,167000.000000,168000.000000,154000.000000,156000.000000,150035.468750,14606185
2020-08-24,157500.000000,176500.000000,152500.000000,172000.000000,165423.718750,16845941
2020-08-31,177500.000000,182000.000000,167500.000000,172500.000000,165904.609375,15533464
2020-09-07,172500.000000,173000.000000,165500.000000,171500.000000,164942.843750,7999933
2020-09-14,174500.000000,191500.000000,174000.000000,181000.000000,174079.625000,16159187
2020-09-21,181000.000000,188500.000000,166000.000000,170000.000000,163500.187500,14576471
2020-09-28,173000.000000,180000.000000,172000.000000,178500.000000,171675.203125,2850120
2020-10-05,183000.000000,188500.000000,178500.000000,180500.000000,173598.734375,8138888
2020-10-12,178000.000000,183500.000000,169000.000000,172000.000000,165423.718750,10098646
2020-10-19,169500.000000,172000.000000,156500.000000,167000.000000,160614.890625,13273157
2020-10-26,167000.000000,178000.000000,164000.000000,164500.000000,158210.484375,10692847
2020-11-02,166000.000000,177000.000000,166000.000000,170500.000000,163981.062500,7290539
2020-11-09,172500.000000,179000.000000,172000.000000,177500.000000,170713.421875,11829028
2020-11-16,182500.000000,185500.000000,177000.000000,177000.000000,170232.546875,11100185
2020-11-23,175000.000000,184000.000000,175000.000000,181000.000000,174079.625000,7394511
