Date,Open,High,Low,Close,Adj Close,Volume
2021-05-01,212000.000000,236000.000000,211000.000000,235000.000000,229650.593750,22902066
2021-06-01,235000.000000,249000.000000,232000.000000,239500.000000,234048.156250,20470541
2021-07-01,238500.000000,243500.000000,218000.000000,218000.000000,213925.234375,17183693
2021-08-01,218000.000000,225000.000000,200000.000000,212500.000000,208528.031250,14350998
2021-09-01,214000.000000,218500.000000,197500.000000,200000.000000,196261.687500,11799356
2021-10-01,198000.000000,215000.000000,189000.000000,208000.000000,204112.140625,14582859
2021-11-01,208000.000000,220000.000000,194500.000000,195500.000000,191845.796875,15678239
2021-12-01,198500.000000,217000.000000,196500.000000,209000.000000,205093.453125,13280620
2022-01-01,211500.000000,217500.000000,185500.000000,186500.000000,186500.000000,11892548
2022-02-01,193000.000000,195500.000000,171000.000000,174000.000000,174000.000000,11556422
2022-03-01,171500.000000,183000.000000,163000.000000,180500.000000,180500.000000,12747009
2022-04-01,178000.000000,191000.000000,174500.000000,186000.000000,186000.000000,16174933
2022-05-01,184000.000000,189500.000000,176000.000000,189500.000000,189500.000000,11530639
2022-06-01,189500.000000,189500.000000,168000.000000,180500.000000,180500.000000,17438131
2022-07-01,181500.000000,185000.000000,172000.000000,183500.000000,183500.000000,8995111
2022-07-15,183000.000000,184500.000000,178500.000000,183500.000000,183500.000000,763391
